Barreau,Cour d'appel,Département,Avocats,Avocates
Agen,Cour d'appel d'Agen,47,48,61
Gers,Cour d'appel d'Agen,32,27,26
Lot,Cour d'appel d'Agen,46,17,29
Aix-en-Provence,Cour d'appel d'Aix-en-Provence,13,302,506
Alpes-de-Haute-Provence,Cour d'appel d'Aix-en-Provence,04,21,27
Draguignan,Cour d'appel d'Aix-en-Provence,83,108,135
Grasse,Cour d'appel d'Aix-en-Provence,06,255,359
Marseille,Cour d'appel d'Aix-en-Provence,13,968,1156
Nice,Cour d'appel d'Aix-en-Provence,06,511,537
Tarascon,Cour d'appel d'Aix-en-Provence,13,37,44
Toulon,Cour d'appel d'Aix-en-Provence,83,220,259
Amiens,Cour d'appel d'Amiens,80,124,147
Beauvais,Cour d'appel d'Amiens,60,30,40
Compiègne,Cour d'appel d'Amiens,60,37,44
Laon,Cour d'appel d'Amiens,02,12,23
Saint-Quentin,Cour d'appel d'Amiens,02,25,26
Senlis,Cour d'appel d'Amiens,60,31,54
Soissons,Cour d'appel d'Amiens,02,11,17
Angers,Cour d'appel d'Angers,49,174,179
Laval,Cour d'appel d'Angers,53,37,34
Le Mans,Cour d'appel d'Angers,72,66,94
Saumur,Cour d'appel d'Angers,49,12,13
Guadeloupe,Cour d'appel de Basse-Terre,971,132,178
Ajaccio,Cour d'appel de Bastia,2A,52,77
Bastia,Cour d'appel de Bastia,2B,48,97
Belfort,Cour d'appel de Besançon,90,22,17
Besançon,Cour d'appel de Besançon,25,72,115
Haute-Saône,Cour d'appel de Besançon,70,8,22
Jura,Cour d'appel de Besançon,39,26,35
Montbéliard,Cour d'appel de Besançon,25,19,22
Bergerac,Cour d'appel de Bordeaux,33,19,23
Bordeaux,Cour d'appel de Bordeaux,33,646,929
Charente,Cour d'appel de Bordeaux,16,44,71
Libourne,Cour d'appel de Bordeaux,33,24,42
Périgueux,Cour d'appel de Bordeaux,24,39,47
Bourges,Cour d'appel de Bourges,18,34,53
Chateauroux,Cour d'appel de Bourges,36,18,26
Nevers,Cour d'appel de Bourges,58,19,34
Alençon,Cour d'appel de Caen,61,17,21
Argentan,Cour d'appel de Caen,61,8,16
Caen,Cour d'appel de Caen,14,181,189
Cherbourg,Cour d'appel de Caen,50,16,35
Coutances,Cour d'appel de Caen,50,26,44
Lisieux,Cour d'appel de Caen,14,22,18
Guyane,Cour d'appel de Cayenne,973,36,42
Albertville,Cour d'appel de Chambéry,73,20,29
Annecy,Cour d'appel de Chambéry,74,92,148
Bonneville,Cour d'appel de Chambéry,74,21,41
Chambéry,Cour d'appel de Chambéry,73,79,141
Thonon-les-Bains,Cour d'appel de Chambéry,74,47,100
Colmar,Cour d'appel de Colmar,68,59,91
Mulhouse,Cour d'appel de Colmar,68,92,117
Saverne,Cour d'appel de Colmar,67,12,18
Strasbourg,Cour d'appel de Colmar,67,418,538
Chalon-sur-Saône,Cour d'appel de Dijon,71,43,51
Dijon,Cour d'appel de Dijon,21,134,198
