Lieu,Département,Code département,Région,Longitude,Latitude,Secteur,Appel à projet,Association,Lien,Mixité,Nombre de places,Date d'ouverture
Lusigny,Allier,03,Auvergne-Rhône-Alpes,"3,4892053","46,5884526",Associatif,,Le Prado,https://www.le-prado.fr/centre-educatif-ferme-du-bourbonnais/,,12,01/01/2005
*en projet*,Ardèche,07,Auvergne-Rhône-Alpes,,,Associatif,http://www.justice.gouv.fr/art_pix/aap_cef_04.pdf,*en attente*,,,,
Valence,Drôme,26,Auvergne-Rhône-Alpes,"4,8920811","44,9332277",Associatif,,Sauvegarde 26,http://www.sauvegarde26.org/activites-services/recherche-par-poles/pole-justice-penale-des-mineurs/cef-centre-educatif-ferme,,,
Sinard,Isère,38,Auvergne-Rhône-Alpes,"5,6556143","44,9458031",Associatif,,Sauvegarde Isère,,,,
Saint Germain Lespinasse,Loire,42,Auvergne-Rhône-Alpes,"3,96633","46,1028",Associatif,,Le Prado,https://www.le-prado.fr/centre-educatif-ferme-de-la-teyssonne/,garçons,12,
Pionsat,Puy-de-Dôme,63,Auvergne-Rhône-Alpes,"2,6942777","46,1091604",Associatif,,Le Cap (Groupe SOS),http://www.groupe-sos.org/structures/1230/CEF_L_Arverne_Le_Cap,,,
Saint-Jean-la-Buissière,Rhône,69,Auvergne-Rhône-Alpes,"5,97793","45,401",Associatif,,SLEA,,,,
*en projet*,Savoie,73,Auvergne-Rhône-Alpes,,,Associatif,http://www.justice.gouv.fr/art_pix/Avis_appel_a_projets_CEF_73.pdf,*en attente*,,,,
Châtillon-sur-Seine,Côte-d'Or,21,Bourgogne-Franche-Comté,"4,5749139","47,8607467",Public,,*non-applicable*,,,,
*en projet*,Doubs,25,Bourgogne-Franche-Comté,,,Public,,*non-applicable*,,,,
Autun,Saône-et-Loire,71,Bourgogne-Franche-Comté,"4,2989478","46,9510313",Associatif,,Sauvegarde 71,,,,
Gévézé,Ille-et-Vilaine,35,Bretagne,"-1,7896366","48,2204891",Associatif,,Diagrama,,,,
*en projet*,Indre-et-Loire,37,Centre-Val de Loire,,,Associatif,,*non-applicable*,,,,
La-Chapelle-Saint-Mesmin,Loiret,45,Centre-Val de Loire,"1,8398174","47,8869822",Public,,*non-applicable*,,,,
Lusigny-sur-Barse,Aube,10,Grand Est,"4,2683634","48,2548977",Associatif,,Sauvegarde 10,,,,
Sainte-Ménéhould,Marne,51,Grand Est,"4,8967637","49,0904192",Associatif,,Sauvegarde 51,,,,
*en projet*,Marne,51,Grand Est,,,Associatif,,*non-applicable*,,,,
Tonnoy,Meurthe-et-Moselle,54,Grand Est,"6,2502","48,5514",Associatif,,Realise,,,,
Thierville-sur-Meuse,Meuse,55,Grand Est,"5,348031","49,1706321",Associatif,,Association Meusienne pour la Sauvegarde de l'Enfance de l'Adolescence et des Adultes,,garçons,12,
Forbach,Moselle,57,Grand Est,"6,8957413","49,1861533",Associatif,,Fondation Vincent de Paul,,,,
Saverne,Bas-Rhin,67,Grand Est,"7,3625953","48,7419909",Associatif,,Groupe SOS,http://www.groupe-sos.org/structures/986/CEF_de_Saverne,garçons,12,
Mulhouse,Haut-Rhin,68,Grand Est,"7,3399355","47,7494188",Associatif,,ARSEA,,,,
Port-Louis,Guadeloupe,971,Guadeloupe,"-61,289271","15,9122724",Associatif,,Groupe SOS,http://www.groupe-sos.org/structures/1000/CEF_Port_Louis,garçons,12,
*en projet*,Guyane,973,Guyane,,,Associatif,http://www.justice.gouv.fr/art_pix/aap_cef_973.PDF,*en attente*,,,,
Laon,Aisne,02,Hauts-de-France,"3,620686","49,564665",Public,,*non-applicable*,,,,
Cambrai,Nord,59,Hauts-de-France,"3,2356613","50,1759602",Public,,*non-applicable*,,,,
*en projet*,Nord,59,Hauts-de-France,,,Public,,*non-applicable*,,,,
*en projet*,Nord,59,Hauts-de-France,,,Associatif,http://www.justice.gouv.fr/art_pix/aap_cef_59.pdf,*en attente*,,,,
Beauvais,Oise,60,Hauts-de-France,"2,0823355","49,4300997",Public,,*non-applicable*,,,,
Saint-Venant,Pas-de-Calais,62,Hauts-de-France,"2,5492669","50,6237649",Associatif,,ABCD,,,,
Bruay-la-Bussière,Pas-de-Calais,62,Hauts-de-France,"2,5705605","50,494646",Public,,*non-applicable*,,,,
Liévin,Pas-de-Calais,62,Hauts-de-France,"2,7738","50,4245",Public,,*non-applicable*,,,,
Ham,Somme,80,Hauts-de-France,"3,0733031","49,746322",Associatif,,Association Yves Lefebvre,,,,
Combs-la-Ville,Seine-et-Marne,77,Ile-de-France,"2,5537943","48,6667126",Associatif,,Sauvegarde 77,http://www.adsea77.fr/index.php?page=cef,,,
*en projet*,Seine-et-Marne,77,Ile-de-France,,,Associatif,http://www.justice.gouv.fr/art_pix/aap_cef_77.pdf,*en attente*,,,,
*en projet*,Yvelines,78,Ile-de-France,,,Associatif,http://www.justice.gouv.fr/art_pix/aap_cef_78.pdf,*en attente*,,,,
Bures-sur-Yvette,Essonne,91,Ile-de-France,"2,1632719","48,6972179",Public,,*non-applicable*,,,,
Savigny-sur-Orge,Essonne,91,Ile-de-France,"2,3482788","48,6842593",Public,,*non-applicable*,,,,
Epinay-sur-Seine,Seine-Saint-Denis,93,Ile-de-France,"2,3145039","48,9525181",Public,,*non-applicable*,,,,
Saint-Brice,Val-d'Oise,95,Ile-de-France,"2,3688013","48,9950012",Public,,*non-applicable*,,,,
*en projet*,Val-d'Oise,95,Ile-de-France,,,Associatif,http://www.justice.gouv.fr/art_pix/aap_cef_95.pdf,*en attente*,,,,
Saint-Anne,La Réunion,974,La Réunion,"55,723311","-21,12405",Associatif,,Groupe SOS,http://www.groupe-sos.org/structures/885/CEF_Jules_Palant,,,
*en projet*,Calvados,14,Normandie,,,Public,,*non-applicable*,,,,
Saint-Gauburge,Orne,61,Normandie,"0,6555883","48,3244836",Associatif,,Association Montjoie,https://www.montjoie.asso.fr/index.php?page=cef61,,,
Doudeville,Seine-Maritime,76,Normandie,"0,7835886","49,7229361",Associatif,,Les Nids,,,,
Saint-Denis-le-Thiboult,Seine-Maritime,76,Normandie,"1,3623213","49,4595571",Associatif,,Les Nids,,,,
Angoulême,Charente,16,Nouvelle Aquitaine,"0,1568658","45,6496755",Public,,*non-applicable*,,,,
*en projet*,Charente-Maritime,17,Nouvelle Aquitaine,,,Associatif,,*non-applicable*,,,,
Soudaine-Lavinadière,Corrèze,19,Nouvelle Aquitaine,"1,7412618","45,5560432",Associatif,,Association Limousine de Sauvegarde de l’Enfance à l’Adulte,,,,
*en projet*,Dordogne,24,Nouvelle Aquitaine,,,Public,,*non-applicable*,,,,
Sainte-Eulalie,Gironde,33,Nouvelle Aquitaine,"-0,4742854","44,9061686",Associatif,,OREAG,,,,
Mont-de-Marsan,Landes,40,Nouvelle Aquitaine,"-0,500972","43,8911318",Public,,*non-applicable*,,,,
Hendaye,Pyrénées-Atlantiques,64,Nouvelle Aquitaine,"-1,7616499","43,3641518",Associatif,,Sauvegarde Pays Basque,,,,
Le Vigeant,Vienne,86,Nouvelle Aquitaine,"0,6491646","46,2247333",Associatif,,Nouvel Horizon / ANESI,,garçons,12,
Moissannes,Haute-Vienne,87,Nouvelle Aquitaine,"1,5628581","45,8764958",Associatif,,Institut Don Bosco,http://www.institut-don-bosco.fr/les-etablissements/centre-educatif-ferme-de-moissannes/,,12,
*en projet*,Ariège,09,Occitanie,,,Associatif,,*non-applicable*,,,,
Narbonne,Aude,11,Occitanie,"3,0043128","43,182806",Associatif,,ANRAS,,,,
Limayrac,Aveyron,12,Occitanie,"2,3644919","44,32989",Associatif,,ANRAS,,,,
Nîmes,Gard,30,Occitanie,"4,3600687","43,8374249",Public,,*non-applicable*,,,,
*en projet*,Gers,32,Occitanie,,,Public,,*non-applicable*,,,,
*en projet*,Hérault,34,Occitanie,,,Associatif,,*non-applicable*,,,,
*en projet*,Tarn,81,Occitanie,,,Associatif,,*non-applicable*,,,,
Saint-Paul-d'Espis,Tarn-et-Garonne,82,Occitanie,"0,9687922","44,1440325",Associatif,,Sauvegarde de Tarn-et-Garonne,http://www.sauvegarde-enfance.com/cef-sauvegarde_de_l_enfance_82.ws,,,
*en projet*,Loire-Atlantique,44,Pays de la Loire,,,Associatif,http://www.justice.gouv.fr/art_pix/aap_cef_44.pdf,Groupe SOS,,,,
La Jubaudière,Maine-et-Loire,49,Pays de la Loire,"-0,8925251025","47,1700757",Associatif,,Sauvegarde Mayenne Sarthe,,,,
