type,etablissement,norme,operationnel,detenus,date,densite,dir_interregionale
MA,Agen,146,145,164,2019-03-01,113.10344827586208,Bordeaux
MA,Angoulême,236,236,200,2019-03-01,84.7457627118644,Bordeaux
MA,Bayonne,75,75,100,2019-03-01,133.33333333333331,Bordeaux
MA,Guéret,32,32,36,2019-03-01,112.5,Bordeaux
MA,Limoges,83,83,145,2019-03-01,174.6987951807229,Bordeaux
MA,Niort,66,66,100,2019-03-01,151.5151515151515,Bordeaux
MA,Pau,255,250,190,2019-03-01,76,Bordeaux
MA,Périgueux,101,99,113,2019-03-01,114.14141414141415,Bordeaux
MA,Rochefort,52,52,83,2019-03-01,159.6153846153846,Bordeaux
MA,Saintes,85,85,114,2019-03-01,134.1176470588235,Bordeaux
MA,Tulle,47,47,63,2019-03-01,134.04255319148936,Bordeaux
qMA,Bordeaux Gradignan,354,350,628,2019-03-01,179.42857142857142,Bordeaux
qMA,Mont-de-Marsan,333,333,304,2019-03-01,91.29129129129129,Bordeaux
qMA,Poitiers-Vivonne,305,305,409,2019-03-01,134.0983606557377,Bordeaux
CD,Bédenac,194,194,167,2019-03-01,86.08247422680412,Bordeaux
CD,Eysses,290,290,278,2019-03-01,95.86206896551724,Bordeaux
CD,Mauzac,369,369,317,2019-03-01,85.90785907859079,Bordeaux
CD,Neuvic,397,397,368,2019-03-01,92.69521410579345,Bordeaux
CD,Uzerche,594,590,547,2019-03-01,92.71186440677967,Bordeaux
qCD,Mont-de-Marsan,368,363,332,2019-03-01,91.46005509641874,Bordeaux
qCD,Poitiers-Vivonne,271,271,261,2019-03-01,96.30996309963099,Bordeaux
MC,Saint-Martin-de-Ré,478,460,333,2019-03-01,72.3913043478261,Bordeaux
qCPA,Bordeaux Gradignan,82,82,49,2019-03-01,59.756097560975604,Bordeaux
qCPA,Poitiers-Vivonne,27,27,14,2019-03-01,51.85185185185185,Bordeaux
qCSL,Mont-de-Marsan,19,19,11,2019-03-01,57.89473684210527,Bordeaux
qCSL,Poitiers-Vivonne,30,30,18,2019-03-01,60,Bordeaux
MA,Auxerre,101,101,182,2019-03-01,180.1980198019802,Dijon
MA,Belfort,39,39,50,2019-03-01,128.2051282051282,Dijon
MA,Besançon,275,275,392,2019-03-01,142.54545454545456,Dijon
MA,Blois,114,114,147,2019-03-01,128.94736842105263,Dijon
MA,Bourges,116,116,162,2019-03-01,139.6551724137931,Dijon
MA,Dijon,186,186,295,2019-03-01,158.6021505376344,Dijon
MA,Lons-le-Saunier,39,39,54,2019-03-01,138.46153846153845,Dijon
MA,Montbéliard,41,41,56,2019-03-01,136.58536585365854,Dijon
MA,Nevers,118,118,111,2019-03-01,94.0677966101695,Dijon
MA,Tours,145,145,231,2019-03-01,159.31034482758622,Dijon
MA,Vesoul,50,50,77,2019-03-01,154,Dijon
qMA,Châteauroux,105,105,132,2019-03-01,125.71428571428571,Dijon
qMA,Orléans-Saran,531,531,580,2019-03-01,109.22787193973636,Dijon
qMA,Varennes-le-Grand,193,193,295,2019-03-01,152.8497409326425,Dijon
CD,Châteaudun,597,597,550,2019-03-01,92.12730318257957,Dijon
