Nom,Âge,Sexe,Date,Lieu,Localisation,Type,État,Lien
,42,homme,15/12/2016,"Bois d'Arcy, Yvelines",cellule,pendaison,attente d'extradition,http://www.lefigaro.fr/flash-actu/2016/12/15/97001-20161215FILWWW00280-yvelines-suicide-d-un-detenu-portugais.php
,22,homme,28/12/2016,"Villefrance-sur-Saône, Rhône",cellule,pendaison,condamnation,http://www.leprogres.fr/beaujolais/2016/12/29/retrouve-pendu-dans-sa-cellule-rgbc
,35,homme,28/12/2016,"Saran, Loiret",cellule,pendaison,condamnation,http://www.lechorepublicain.fr/chartres/faits-divers/2017/01/03/deux-detenus-se-sont-pendus-dans-leurs-cellules-a-saran-nbsp_12229656.html
,71,homme,28/12/2016,"Saran, Loiret",cellule,pendaison,condamnation,http://www.lechorepublicain.fr/chartres/faits-divers/2017/01/03/deux-detenus-se-sont-pendus-dans-leurs-cellules-a-saran-nbsp_12229656.html
,21,homme,08/01/2017,"Saintes, Gironde",cellule,pendaison,,http://www.sudouest.fr/2017/01/09/prison-de-saintes-le-jeune-detenu-toujours-entre-la-vie-et-la-mort-3088823-1531.php
,35,homme,11/01/2017,"Saran, Loiret",cellule,pendaison,,http://www.europe1.fr/faits-divers/suicide-dun-troisieme-detenu-en-15-jours-au-centre-penitentiaire-de-saran-2948654
,45,homme,18/01/2017,"Gradignan, Gironde",cellule,pendaison,détention provisoire,"http://www.charentelibre.fr/2017/01/18/gradignan-suicide-en-prison-du-detenu-mis-en-examen-pour-l-assassinat-de-son-ex-compagne,3079758.php"
,,homme,27/01/2017,"Fleury-Mérogis, Essonne",cellule,pendaison,détention provisoire,http://www.leparisien.fr/faits-divers/essonne-un-detenu-retrouve-pendu-a-la-prison-de-fleury-merogis-27-01-2017-6628110.php
,70,homme,29/01/2017,"Rouen, Seine-Maritime",cellule,pendaison,,http://www.tendanceouest.com/actualite-212451-un-detenu-se-suicide-dans-sa-cellule-a-la-maison-arret-de-rouen.html
,quarantaine d'années,homme,01/02/2017,"Dijon, Côte-d'Or",cellule,médicaments,semi-liberté,http://www.europe1.fr/faits-divers/suicide-dun-detenu-a-la-maison-darret-de-dijon-2972831
,27,homme,06/02/2017,"Brest, Finistère",isolement,pendaison,condamnation,http://www.letelegramme.fr/finistere/brest/prison-de-brest-un-detenu-se-pend-au-quartier-disciplinaire-08-02-2017-11392624.php?share_auth=774801d84a87205624937852078402e2#closePopUp
,,homme,08/02/2017,"Uzès, Gard",unité psychiatrique,pendaison,,"http://www.midilibre.fr/2017/02/08/uzes-un-detenu-hospitalise-au-mas-careiron-retrouve-pendu,1464271.php"
,39,femme,20/02/2017,"Rennes, Ille-et-Vilaine",cellule,pendaison,condamnation,http://www.ouest-france.fr/bretagne/rennes-35000/rennes-une-detenue-se-suicide-la-prison-des-femmes-4826365
,cinquantaine d'années,homme,23/02/2017,"Nice, Alpes-Maritimes",cellule,pendaison,détention provisoire,http://www.nicematin.com/faits-divers/suicides-et-tentatives-en-serie-dans-la-prison-de-nice-au-bord-de-lasphyxie-120629
,36,homme,03/03/2017,"Perpignan, Pyrénées-Orientales",cellule,inconnue,condamnation,http://france3-regions.francetvinfo.fr/occitanie/pyrenees-orientales/perpignan/detenu-retrouve-mort-sa-cellule-perpignan-1207335.html
,22,homme,06/05/2017,"Nice, Alpes-Maritimes",cellule,pendaison,,http://www.nicematin.com/faits-divers/un-detenu-retrouve-pendu-dans-sa-cellule-a-la-maison-darret-de-nice-135078
,40,homme,16/05/2017,"Sequedin, Nord",cellule,pendaison,détention provisoire,http://www.boursorama.com/actualites/le-meurtrier-presume-de-la-petite-chloe-en-2015-s-est-pendu-en-prison-1f42c6159ea839452c31b3d67770da99
,24,homme,31/05/2017,"Seclin, Nord",unité psychiatrique,pendaison,détention provisoire,http://www.lavoixdunord.fr/173554/article/2017-06-06/detenu-seclin-pour-aide-l-immigration-clandestine-un-jeune-vietnamien-se-suicide
,50,homme,13/06/2017,"Maubeuge, Nord",cellule,pendaison,condamnation,http://www.lavoixdunord.fr/179326/article/2017-06-17/un-detenu-de-la-prison-se-suicide-sa-famille-en-colere
,28,homme,18/06/2017,"Sequedin, Nord",isolement,pendaison,détention provisoire,http://www.lavoixdunord.fr/180586/article/2017-06-19/encore-un-suicide-dimanche-la-prison
,32,homme,01/07/2017,"Châlons-en-Champagne, Marne",cellule,pendaison,détention provisoire,http://www.lunion.fr/38439/article/2017-07-02/chalons-un-detenu-meurt-apres-s-etre-pendu-la-maison-d-arret
,48,homme,17/07/2017,"Béziers, Hérault",cellule,pendaison,,"http://www.midilibre.fr/2017/07/17/un-detenu-espagnol-retrouve-pendu-avec-ses-draps-a-la-prison-de-beziers,1537406.php"
