Année,Arme,Service,Nombre d'utilisations,Évolution n-1,Précisions,Lien
2010,Arme à feu (situation opé.),Gendarmerie nationale,75,,,http://www.senat.fr/rap/l12-453/l12-4531.html
2011,Arme à feu (situation opé.),Gendarmerie nationale,73,,,http://www.senat.fr/rap/l12-453/l12-4531.html
2012,Arme à feu (situation opé.),Gendarmerie nationale,53,,Neuf premiers mois de 2012,http://www.senat.fr/rap/l12-453/l12-4531.html
2013,Arme à feu,Gendarmerie nationale,,"0,789",,http://questions.assemblee-nationale.fr/q14/14-65270QE.htm
2013,Arme à feu (situation opé.),Gendarmerie nationale,71,,,Rapport Cazaux-Charles
2014,Arme à feu (situation opé.),Gendarmerie nationale,67,,,Rapport Cazaux-Charles
2015,Arme à feu (situation opé.),Gendarmerie nationale,69,,,Rapport Cazaux-Charles
2014,Arme à feu (situation opé.),Gendarmerie nationale,67,,,http://www.senat.fr/rap/l16-309/l16-3091.pdf
2015,Arme à feu (situation opé.),Gendarmerie nationale,69,,,http://www.senat.fr/rap/l16-309/l16-3091.pdf
2016,Arme à feu (situation opé.),Gendarmerie nationale,62,,Du 1er janvier au 1er novembre 2016,http://www.senat.fr/rap/l16-309/l16-3091.pdf
2016,Arme à feu,Gendarmerie nationale,79,,,http://www.leparisien.fr/faits-divers/policiers-et-gendarmes-degainent-leur-arme-de-plus-en-plus-souvent-09-09-2018-7882092.php
2017,Arme à feu,Gendarmerie nationale,91,"1,15",,http://www.leparisien.fr/faits-divers/policiers-et-gendarmes-degainent-leur-arme-de-plus-en-plus-souvent-09-09-2018-7882092.php
2010,Arme à feu (situation opé.),Police nationale,169,,,http://www.senat.fr/rap/l12-453/l12-4531.html
2011,Arme à feu (situation opé.),Police nationale,201,,,http://www.senat.fr/rap/l12-453/l12-4531.html
2012,Arme à feu (situation opé.),Police nationale,193,,Neuf premiers mois de 2012,http://www.senat.fr/rap/l12-453/l12-4531.html
2012,Arme à feu (déclaration d'usage),Police nationale,227,,à partir du 11 janvier,Rapport Cazaux-Charles
2013,Arme à feu (déclaration d'usage),Police nationale,196,,,Rapport Cazaux-Charles
2014,Arme à feu (déclaration d'usage),Police nationale,203,,,Rapport Cazaux-Charles
2015,Arme à feu (déclaration d'usage),Police nationale,241,,,Rapport Cazaux-Charles
2012,Arme à feu (munitions),Police nationale,642,,à partir du 11 janvier,Rapport Cazaux-Charles
2013,Arme à feu (munitions),Police nationale,489,,,Rapport Cazaux-Charles
2014,Arme à feu (munitions),Police nationale,579,,,Rapport Cazaux-Charles
2015,Arme à feu (munitions),Police nationale,751,,,Rapport Cazaux-Charles
2013,Arme à feu,Police nationale,,"0,88",,http://questions.assemblee-nationale.fr/q14/14-65270QE.htm
2014,Arme à feu,Police nationale,228,,,https://abonnes.lemonde.fr/police-justice/article/2015/05/21/la-police-des-polices-favorable-au-taser-pas-au-flash-ball_4638108_1653578.html?
2014,Arme à feu (situation opé.),Police nationale,203,,,http://www.senat.fr/rap/l16-309/l16-3091.pdf
2014,Arme à feu (munitions),Police nationale,579,,,http://www.senat.fr/rap/l16-309/l16-3091.pdf
2015,Arme à feu (situation opé.),Police nationale,241,,,http://www.senat.fr/rap/l16-309/l16-3091.pdf
2015,Arme à feu,Police nationale,287,,Calculé à partir des infos de 2016,http://www.leparisien.fr/faits-divers/en-2016-les-signalements-d-abus-policiers-ont-sensiblement-augmente-28-09-2017-7291977.php
